Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Ronnie Lee Shorter,1/21/17,Pending investigation/No Known Charges,No known charges,
Gino Martin Palazzolo,1/20/17,Pending investigation/No Known Charges,No known charges,
Joshua D. Jones,1/20/17,Pending investigation/No Known Charges,No known charges,
Christopher Garza,1/19/17,Pending investigation/No Known Charges,No known charges,
Elijah Smith,1/19/17,Pending investigation/No Known Charges,No known charges,
Name withheld by police,1/19/17,Pending investigation/No Known Charges,No known charges,
William D. Fisher,1/19/17,Pending investigation/No Known Charges,No known charges,
David Stroughter,1/18/17,Pending investigation/No Known Charges,No known charges,
Genevive Dawes,1/18/17,Charged with aggravated assault,"Charged, Acquitted",
Marlon Joel Rodas-Sanchez,1/18/17,Pending investigation/No Known Charges,No known charges,
Marquis Thomas,1/18/17,Pending investigation/No Known Charges,No known charges,
Melvin DeLong,1/18/17,Pending investigation/No Known Charges,No known charges,
Stoney McJunkin,1/18/17,Pending investigation/No Known Charges,No known charges,
Christopher Dalton Sexton,1/17/17,Pending investigation/No Known Charges,No known charges,
Dominic Hodges,1/17/17,Pending investigation/No Known Charges,No known charges,
Rudy Joseph Garcia,1/17/17,Pending investigation/No Known Charges,No known charges,
Charles Christopher McClure,1/16/17,Pending investigation/No Known Charges,No known charges,
David Wesley Carroll,1/16/17,Pending investigation/No Known Charges,No known charges,
Mohammad Azim Doudzai,1/16/17,Pending investigation/No Known Charges,No known charges,
Dexter Martin Dumarce,1/15/17,Pending investigation,No known charges,
Eric Anderson,1/15/17,Pending investigation/No Known Charges,No known charges,
Herbert Johnson,1/15/17,Pending investigation/No Known Charges,No known charges,
Sinuon Pream,1/15/17,Pending investigation/No Known Charges,No known charges,
Jahlire Nicholson,1/14/17,Pending investigation/No Known Charges,No known charges,
Scott Laurance Gilpin,1/14/17,Justified by District Attorney,No known charges,
Cameron John Johnson,1/13/17,Pending investigation/No Known Charges,No known charges,
Jamison Christopher Anderson,1/12/17,Pending investigation/No Known Charges,No known charges,
Kevin Ernest Tree,1/12/17,Justified by State Attorney,No known charges,
Rodney L. Hoback Jr.,1/12/17,Pending investigation/No Known Charges,No known charges,
Hafez Abousamra,1/11/17,Pending investigation/No Known Charges,No known charges,
Jose Antonio Fernandez Ventura,1/11/17,Pending investigation/No Known Charges,No known charges,
Ronald Dean Johnson,1/11/17,Pending investigation/No Known Charges,No known charges,
Darrion M. Barnhill,1/10/17,Pending investigation/No Known Charges,No known charges,
Hector Arreola,1/10/17,Pending investigation/No Known Charges,No known charges,
Michael Rogers,1/10/17,Pending investigation/No Known Charges,No known charges,
Davion Henderson,1/9/17,Pending investigation/No Known Charges,No known charges,
JR Williams,1/9/17,Pending investigation/No Known Charges,No known charges,
Jason Aldridge,1/8/17,Pending investigation/No Known Charges,No known charges,
Carlos A. Cruz,1/7/17,Justified by Prosecutor,No known charges,
Daniel Scott Giberson,1/7/17,Pending investigation/No Known Charges,No known charges,
Gilbert Zambronio Lovato,1/7/17,Pending investigation/No Known Charges,No known charges,
Hector Ruben Navarrete,1/7/17,Pending investigation,No known charges,
Travis Edward Baker,1/7/17,Pending investigation/No Known Charges,No known charges,
William Tucker Mathis,1/7/17,Pending investigation/No Known Charges,No known charges,
Jamal Parks,1/6/17,Pending investigation/No Known Charges,No known charges,
Sean Marie Hake or Sean Ryan,1/6/17,Justified by District Attorney,No known charges,
Luis Vargas,1/5/17,Pending investigation/No Known Charges,No known charges,
Randy Wayne Cole,1/5/17,Pending investigation/No Known Charges,No known charges,
Joshua George Dove,1/4/17,Pending investigation/No Known Charges,No known charges,
Joshua Martino,1/4/17,Pending investigation/No Known Charges,No known charges,
Muhammad Abdul Muhaymin,1/4/17,Pending investigation/No Known Charges,No known charges,
Richard A. Jackson,1/4/17,Pending investigation/No Known Charges,No known charges,
Ruben Lamont Randolph,1/4/17,Pending investigation/No Known Charges,No known charges,
Welby O'Dell Mullins Jr.,1/4/17,Pending investigation/No Known Charges,No known charges,
Dale Hightower,1/3/17,Grand jury/No bill or Cleared,No known charges,
James Owens,1/3/17,Pending investigation/No Known Charges,No known charges,
Jose Nieves,1/2/17,Charged with 2nd degree murder,"Charged, Convicted, Sentenced to 10 years in prison",
Chad Erik Roberts,1/1/17,Pending investigation/No Known Charges,No known charges,
James E. Lewis,1/1/17,Pending investigation/No Known Charges,No known charges,
John McLaughlin,1/1/17,Pending investigation/No Known Charges,No known charges,
Juan Carlos Cuadra,1/1/17,Pending investigation/No Known Charges,No known charges,
Mark Guirguis,1/1/17,Pending investigation/No Known Charges,No known charges,
Trevon Johnson,1/1/17,Pending investigation/No Known Charges,No known charges,
Chase Tuseth,12/31/16,Justified by County Attorney,No known charges,
Jason Michael Robison,12/31/16,Pending investigation/No Known Charges,No known charges,
Ricky Kevin Whidden,12/31/16,Pending investigation/No Known Charges,No known charges,
Daniel Daily,12/30/16,Pending investigation/No Known Charges,No known charges,
Dustin Selby,12/30/16,Pending investigation/No Known Charges,No known charges,
Jamal Robbins,12/30/16,Pending investigation/No Known Charges,No known charges,
James Rich II,12/29/16,Pending investigation/No Known Charges,No known charges,
John Sellinger,12/29/16,Pending investigation/No Known Charges,No known charges,
Christopher Blake Tucker,12/28/16,Pending investigation/No Known Charges,No known charges,
Alfonso Lopez,12/27/16,Pending investigation/No Known Charges,No known charges,
David Carver,12/27/16,Pending investigation/No Known Charges,No known charges,
Dustin Kirk,12/27/16,Pending investigation/No Known Charges,No known charges,
Jake Childers,12/27/16,Pending investigation/No Known Charges,No known charges,
Judy Boardman Hundley,12/27/16,Pending investigation/No Known Charges,No known charges,
Julio Bald Eagle,12/27/16,Pending investigation/No Known Charges,No known charges,
Gerald Javon Hall,12/25/16,Pending investigation/No Known Charges,No known charges,
James Tylka,12/25/16,Justified by District Attorney,No known charges,
Joseph Garcia,12/25/16,Pending investigation/No Known Charges,No known charges,
Michael Alan Altice,12/25/16,Pending investigation/No Known Charges,No known charges,
Miriam Ann Savino,12/24/16,Pending investigation/No Known Charges,No known charges,
Orande Kandie Hayes,12/24/16,Pending investigation/No Known Charges,No known charges,
Zhonghua Li,12/24/16,Pending investigation/No Known Charges,No known charges,
Jonathan Barrio,12/23/16,Pending investigation/No Known Charges,No known charges,
Jose Sanchez,12/23/16,Pending investigation/No Known Charges,No known charges,
Michael T. Jacques,12/23/16,Justified by outside agency/Civil suit/Family awarded money,No known charges,
Stanley Eversol,12/23/16,Pending investigation/No Known Charges,No known charges,
Terrence Thomas Jr,12/22/16,Pending investigation/No Known Charges,No known charges,
Anthony Lovell Eddington,12/21/16,Pending investigation/No Known Charges,No known charges,
Benjamin Ortiz,12/21/16,Pending investigation/No Known Charges,No known charges,
Colton Dale Calaway,12/21/16,Pending investigation/No Known Charges,No known charges,
Ian Shea King,12/21/16,Pending investigation/No Known Charges,No known charges,
Luis Ambrosio-Aguilar,12/21/16,Pending investigation/No Known Charges,No known charges,
Matthew Blake Richardson,12/21/16,Pending investigation/No Known Charges,No known charges,
Raymond James Salaiz,12/21/16,Pending investigation/No Known Charges,No known charges,
William R. Newman,12/21/16,Pending investigation/No Known Charges,No known charges,
Martin Gomez,12/20/16,Pending investigation/No Known Charges,No known charges,
Name withheld by police,12/20/16,Pending investigation/No Known Charges,No known charges,
Nick Hamilton,12/20/16,Pending investigation/No Known Charges,No known charges,
Roy Lee Minton,12/19/16,Pending investigation/No Known Charges,No known charges,
Paul Kolar,12/18/16,Pending investigation/No Known Charges,No known charges,
Ronald Roy Massengale,12/18/16,Pending investigation/No Known Charges,No known charges,
Ryan Joseph,12/18/16,Pending investigation/No Known Charges,No known charges,
Chassady LeClair,12/17/16,Justified by Prosecutor,No known charges,
Fidel Barrios,12/17/16,Pending investigation/No Known Charges,No known charges,
Jimmy Lee Lawson,12/17/16,Pending investigation/No Known Charges,No known charges,
Jeremiah N. Anderson,12/16/16,Grand jury/No bill or Cleared,No known charges,
Marlon Lewis,12/15/16,Pending investigation/No Known Charges,No known charges,
Robert James Hess,12/15/16,Pending investigation/No Known Charges,No known charges,
Earl Labon Eubanks Jr.,12/13/16,Justified by District Attorney,No known charges,
Lavar Montray Douglas,12/13/16,Pending investigation/No Known Charges,No known charges,
Francisco Serna,12/12/16,Other justified (Civilian board/Coroner/Medical examiner),No known charges,
Kenneth Robledo,12/12/16,Pending investigation/No Known Charges,No known charges,
Rainer Tyler Smith,12/12/16,Pending investigation/No Known Charges,No known charges,
Amber M. Lewis,12/11/16,Pending investigation/No Known Charges,No known charges,
Gary Leon Herd Jr.,12/11/16,Pending investigation/No Known Charges,No known charges,
Jose Angel Vallarta,12/11/16,Pending investigation/No Known Charges,No known charges,
Randy Lee Cumberledge,12/11/16,Pending investigation/No Known Charges,No known charges,
Timothy Case,12/11/16,Pending investigation/No Known Charges,No known charges,
Samson G. Varner,12/10/16,Justified by District Attorney,No known charges,
Waltki Cermoun Williams,12/10/16,Justified by Solicitor,No known charges,
Brent Quinn,12/9/16,Justified by District Attorney,No known charges,
David Scott Winkler,12/9/16,Pending investigation/No Known Charges,No known charges,
Scott MacIntosh,12/9/16,Pending investigation/No Known Charges,No known charges,
Stephen Joshua Whitney,12/9/16,Pending investigation/No Known Charges,No known charges,
Robert Wilburn Head,12/8/16,Pending investigation/No Known Charges,No known charges,
Daniel Anthony Riedmann,12/7/16,Justified by County Attorney,No known charges,
Keelan Charles Murray,12/7/16,Pending investigation/No Known Charges,No known charges,
Mark Anthony Hicks,12/7/16,Pending investigation/No Known Charges,No known charges,
Redrick Jevon Batiste,12/7/16,Pending investigation/No Known Charges,No known charges,
Steven Garrett Ward,12/7/16,Pending investigation/No Known Charges,No known charges,
Richard R. Jones,12/6/16,Pending investigation/No Known Charges,No known charges,
Steven Wayne Liffel,12/6/16,Grand jury/No bill or Cleared,No known charges,
Wayne Donald Dorsey,12/6/16,Pending investigation/No Known Charges,No known charges,
Westley Daum,12/6/16,Justified by State Attorney,No known charges,
James Dean Smith,12/4/16,Pending investigation/No Known Charges,No known charges,
Norman Gary,12/4/16,Pending investigation/No Known Charges,No known charges,
Saif Nasser Mubarak Alameri,12/4/16,Grand jury/No bill or Cleared,No known charges,
Isreal Flores,12/3/16,Pending investigation/No Known Charges,No known charges,
Derek Lynn Scott,12/2/16,Pending investigation/No Known Charges,No known charges,
Dylan M. Dalzell,12/2/16,Pending investigation/No Known Charges,No known charges,
Joseph Edward Turner Jr.,12/2/16,Pending investigation/No Known Charges,No known charges,
Josh Dunne,12/2/16,Justified by District Attorney,No known charges,
Paul Mebane,12/2/16,Pending investigation/No Known Charges,No known charges,
Bruce R. Johnson II,12/1/16,Pending investigation/No Known Charges,No known charges,
Jose Noe Barron Gomez,12/1/16,Pending investigation/No Known Charges,No known charges,
Quinton Phillips,12/1/16,Pending investigation/No Known Charges,No known charges,
Daniel Landeros,11/30/16,Pending investigation/No Known Charges,No known charges,
David K. Crosby-Dowdy,11/30/16,Justified by Prosecutor,No known charges,
Alexander Chance Partain,11/29/16,Pending investigation/No Known Charges,No known charges,
Bradley King,11/29/16,Justified by Prosecutor,No known charges,
Michael McInnis,11/29/16,Justified by District Attorney,No known charges,
Toby Cummins,11/29/16,Pending investigation/No Known Charges,No known charges,
Abdul Razak Ali Artan,11/28/16,Pending investigation/No Known Charges,No known charges,
"Irecas Rayshion ""Suga Ray"" Valentine",11/28/16,Pending investigation/No Known Charges,No known charges,
Jason Stringer,11/28/16,Justified by Prosecutor,No known charges,
Pablo Renato Cartagena,11/28/16,Pending investigation/No Known Charges,No known charges,
Norman J. Strobel,11/27/16,Pending investigation/No Known Charges,No known charges,
Richard Grimes,11/27/16,Pending investigation/No Known Charges,No known charges,
Terrell Walker,11/27/16,Pending investigation/No Known Charges,No known charges,
Walter R. Echols,11/27/16,Pending investigation/No Known Charges,No known charges,
Derek Adame,11/26/16,Pending investigation/No Known Charges,No known charges,
Carlos Valencia,11/25/16,Pending investigation/No Known Charges,No known charges,
Cleotha Mitchell,11/25/16,Pending investigation/No Known Charges,No known charges,
Jerome Chris Harmon,11/25/16,Pending investigation/No Known Charges,No known charges,
Don Fitzgerald White,11/24/16,Pending investigation/No Known Charges,No known charges,
Logan Ron Augustine,11/24/16,Justified by Inspector General,No known charges,
David Leroy Thelen,11/23/16,Pending investigation/No Known Charges,No known charges,
Kajuan Raye,11/23/16,Civil suit/Family awarded money,No known charges,
William J. Beavers,11/23/16,Pending investigation/No Known Charges,No known charges,
Elijah Cobb,11/22/16,Pending investigation/No Known Charges,No known charges,
Frank Clark,11/22/16,Pending investigation/No Known Charges,No known charges,
Greta Kurian,11/22/16,Pending investigation/No Known Charges,No known charges,
Ivory C. Pantallion III,11/22/16,Pending investigation/No Known Charges,No known charges,
Mark Daniel Sly,11/22/16,Pending investigation/No Known Charges,No known charges,
Talif Scudder,11/22/16,Pending investigation/No Known Charges,No known charges,
George Bush III,11/21/16,Pending investigation/No Known Charges,No known charges,
Michael Giles,11/21/16,Pending investigation/No Known Charges,No known charges,
Sarah Palmer,11/21/16,Pending investigation/No Known Charges,No known charges,
Andrew Moreno,11/20/16,Pending investigation/No Known Charges,No known charges,
Jacob Stevens,11/20/16,Pending investigation/No Known Charges,No known charges,
Adalid Flores,11/19/16,Justified by District Attorney,No known charges,
Erickson Gomez Brito,11/19/16,Pending investigation/No Known Charges,No known charges,
Luke Smith,11/19/16,Pending investigation/No Known Charges,No known charges,
Steve Dwayne Vananda,11/19/16,Justified by District Attorney,No known charges,
Darius Jones,11/18/16,Pending investigation/No Known Charges,No known charges,
Dontrell Montese Carter,11/18/16,Pending investigation/No Known Charges,No known charges,
Gabriel Parker,11/18/16,Pending investigation/No Known Charges,No known charges,
Joseph Leland Fletcher,11/18/16,Pending investigation/No Known Charges,No known charges,
Samson Fleurant,11/18/16,Grand jury/No bill or Cleared,No known charges,
Bruce Lee Edward Johnson,11/16/16,Pending investigation/No Known Charges,No known charges,
Edmund Charles Leighty Sr.,11/16/16,Pending investigation/No Known Charges,No known charges,
Jose Gregory Anthony Franco,11/16/16,Pending investigation/No Known Charges,No known charges,
Michael Cookson,11/15/16,Pending investigation/No Known Charges,No known charges,
Rasheem Singletary,11/15/16,Pending investigation/No Known Charges,No known charges,
Robert Daffern,11/15/16,Pending investigation/No Known Charges,No known charges,
Daniel Laguna,11/13/16,Pending investigation/No Known Charges,No known charges,
Jonathan M. Young,11/13/16,Justified by District Attorney,No known charges,
Juan Carlos Fernandez,11/13/16,Justified by District Attorney,No known charges,
James Dale Ritchie,11/12/16,Pending investigation/No Known Charges,No known charges,
Richard T. Herrera Jr.,11/12/16,Pending investigation/No Known Charges,No known charges,
Andrew Depeiza,11/11/16,Pending investigation/No Known Charges,No known charges,
Brian Gaither,11/11/16,Justified by District Attorney,No known charges,
Marco Romero,11/11/16,Justified by Prosecutor,No known charges,
Rebecka J. Pearce,11/11/16,Murder/suicide,No known charges,
William Ray Score Jr.,11/11/16,Pending investigation/No Known Charges,No known charges,
George Delacruz Jr.,11/10/16,Pending investigation/No Known Charges,No known charges,
John Pacuicrk,11/10/16,Pending investigation/No Known Charges,No known charges,
Daniel Erickson,11/9/16,Pending investigation/No Known Charges,No known charges,
Carlos Mendez,11/8/16,Pending investigation/No Known Charges,No known charges,
Evan Cox,11/8/16,Pending investigation/No Known Charges,No known charges,
Juan Ramos,11/8/16,Pending investigation/No Known Charges,No known charges,
Kenton J. Kobza,11/8/16,Pending investigation/No Known Charges,No known charges,
Ritchie Lee Harbison,11/8/16,Pending investigation/No Known Charges,No known charges,
Darryl Chisholm,11/7/16,Pending investigation/No Known Charges,No known charges,
Christian Redwine,11/6/16,Pending investigation/No Known Charges,No known charges,
David Contreras Jr.,11/6/16,Pending investigation/No Known Charges,No known charges,
Jimmy L. Testa,11/6/16,Pending investigation/No Known Charges,No known charges,
Joel Burt Keenan,11/6/16,Pending investigation/No Known Charges,No known charges,
Joseph Newcomb,11/6/16,Pending investigation/No Known Charges,No known charges,
Randy Clark Jr.,11/6/16,Pending investigation/No Known Charges,No known charges,
Edward Lowell Hills,11/5/16,Pending investigation/No Known Charges,No known charges,
James Carl Coale,11/5/16,Pending investigation/No Known Charges,No known charges,
John F. Zemola,11/5/16,Pending investigation/No Known Charges,No known charges,
Joshua Beal,11/5/16,Pending investigation/No Known Charges,No known charges,
Patrick Wise,11/5/16,Pending investigation/No Known Charges,No known charges,
Russell Elswick,11/5/16,Pending investigation/No Known Charges,No known charges,
Abraham Ortiz,11/4/16,Justified by District Attorney,No known charges,
Manuel Rosales,11/4/16,Pending investigation/No Known Charges,No known charges,
Dennis Kirk,11/3/16,Pending investigation/No Known Charges,No known charges,
Ferguson Claude Laurent Jr.,11/3/16,Justified by District Attorney,No known charges,
Rita King,11/3/16,Pending investigation/No Known Charges,No known charges,
Ariel Galarza,11/2/16,Pending investigation/No Known Charges,No known charges,
Jesse Jay Taylor,11/2/16,Pending investigation/No Known Charges,No known charges,
Wilton Henry,11/2/16,Pending investigation/No Known Charges,No known charges,
Henry Simpson,11/1/16,Pending investigation/No Known Charges,No known charges,
Keenan Bradley,11/1/16,Pending investigation/No Known Charges,No known charges,
Michael Shriver,11/1/16,Pending investigation/No Known Charges,No known charges,
Ashley Sides,10/31/16,Pending investigation/No Known Charges,No known charges,
Jose Armando Cueva,10/31/16,Pending investigation/No Known Charges,No known charges,
Michelle Lee Shirley,10/31/16,Pending investigation/No Known Charges,No known charges,
Rod Lucas,10/31/16,"Charged with involuntary manslaughter, Acquitted","Charged, Acquitted",
Jordan Gonzales,10/30/16,Pending investigation/No Known Charges,No known charges,
Kenneth Jack Kennedy,10/30/16,Pending investigation/No Known Charges,No known charges,
Michael Dale Vance Jr.,10/30/16,Pending investigation/No Known Charges,No known charges,
Terrence Coleman,10/30/16,Pending investigation/No Known Charges,No known charges,
Luis Armando Lopez,10/29/16,Pending investigation/No Known Charges,No known charges,
Jason King,10/28/16,Pending investigation/No Known Charges,No known charges,
Jay Johannes Holmgren,10/28/16,Pending investigation/No Known Charges,No known charges,
Jun Wang,10/28/16,Pending investigation/No Known Charges,No known charges,
Edwin Amaya Maldonado,10/27/16,Pending investigation/No Known Charges,No known charges,
Kyle W. Killough,10/27/16,Other justified (Civilian board/Coroner/Medical examiner),No known charges,
Lamont Perry,10/27/16,Pending investigation/No Known Charges,No known charges,
Thad Hale,10/27/16,Pending investigation/No Known Charges,No known charges,
Malcolm Loren Hickson,10/26/16,Pending investigation/No Known Charges,No known charges,
William Clifford Cole,10/26/16,Pending investigation/No Known Charges,No known charges,
Brandon Jones,10/25/16,Justified by State's Attorney,No known charges,
Brandon Wayne Millard,10/25/16,Justified by District Attorney,No known charges,
Chelsea M. Porter,10/25/16,Justified by State's Attorney,No known charges,
Roy Lee Richards,10/25/16,Pending investigation/No Known Charges,No known charges,
Aaron Ballard,10/24/16,Pending investigation/No Known Charges,No known charges,
Kristofer Daniel Youngquist,10/24/16,Pending investigation/No Known Charges,No known charges,
Demetrious Mac Moore,10/23/16,Pending investigation/No Known Charges,No known charges,
Kenny Tomblin,10/23/16,Pending investigation/No Known Charges,No known charges,
Junef Monzon,10/22/16,Pending investigation/No Known Charges,No known charges,
Nathaniel B. Dorough,10/22/16,Pending investigation/No Known Charges,No known charges,
Renee Davis,10/21/16,Pending investigation/No Known Charges,No known charges,
William H. Frost Jr.,10/21/16,Pending investigation/No Known Charges,No known charges,
Jacob DePetris,10/20/16,Justified by District Attorney,No known charges,
Anthony Garcia,10/19/16,Pending investigation/No Known Charges,No known charges,
Frank Sandor,10/19/16,Justified by District Attorney,No known charges,
Javier Munoz,10/19/16,Pending investigation/No Known Charges,No known charges,
Charles Stidham,10/18/16,Pending investigation/No Known Charges,No known charges,
Darius Wimberly,10/18/16,Justified by Prosecutor,No known charges,
Deborah Danner,10/18/16,"Charged with murder, Acquitted","Charged, Acquitted",
Salvador Reyes Sanchez,10/18/16,Pending investigation/No Known Charges,No known charges,
Eric St. Germain,10/17/16,Pending investigation/No Known Charges,No known charges,
Keagan Schweikle,10/17/16,Pending investigation/No Known Charges,No known charges,
Rolando Roman Delgado,10/17/16,Pending investigation/No Known Charges,No known charges,
Micah Jester,10/16/16,Pending investigation/No Known Charges,No known charges,
Sean Arlt,10/16/16,Pending investigation/No Known Charges,No known charges,
Daniel Richard Murphy,10/15/16,Pending investigation/No Known Charges,No known charges,
Chaz Logan York,10/14/16,Grand jury/No bill or Cleared,No known charges,
George Zapata,10/14/16,Pending investigation/No Known Charges,No known charges,
Nicholas McWherter,10/14/16,Justified by District Attorney,No known charges,
Patrick Reddeck,10/13/16,Pending investigation/No Known Charges,No known charges,
Rex Vance Wilson,10/13/16,Pending investigation/No Known Charges,No known charges,
Shawn Pappe,10/13/16,Justified by District Attorney,No known charges,
Blaine Justin Beason,10/12/16,Pending investigation/No Known Charges,No known charges,
Kirk Figueroa,10/12/16,Pending investigation/No Known Charges,No known charges,
Matthew Brewer,10/12/16,Pending investigation/No Known Charges,No known charges,
Dominick Musulman,10/11/16,Pending investigation/No Known Charges,No known charges,
Michael L. Taylor,10/11/16,Pending investigation/No Known Charges,No known charges,
Dennis Hunt,10/10/16,Pending investigation/No Known Charges,No known charges,
Devan Desnoyers,10/10/16,Justified by Prosecutor,No known charges,
Kheyanev Littledog,10/10/16,Pending investigation/No Known Charges,No known charges,
Mauricio Barron,10/10/16,Justified by District Attorney,No known charges,
Deric Brown,10/9/16,Grand jury/No bill or Cleared,No known charges,
Luis Michael Hoff,10/9/16,Pending investigation/No Known Charges,No known charges,
Charles E. Antrup,10/8/16,Justified by Prosecutor,No known charges,
Dylan Rogers,10/8/16,Pending investigation/No Known Charges,No known charges,
Kim Jackson,10/8/16,Pending investigation/No Known Charges,No known charges,
Ricardo Hernandez,10/8/16,Pending investigation/No Known Charges,No known charges,
Christopher Darnell Shackleford,10/7/16,Pending investigation/No Known Charges,No known charges,
Eddie Collins,10/7/16,Pending investigation/No Known Charges,No known charges,
Joseph S. Schroeder,10/7/16,Pending investigation/No Known Charges,No known charges,
Larry Daniel Matthews,10/7/16,Pending investigation/No Known Charges,No known charges,
Thomas Burns,10/7/16,Pending investigation/No Known Charges,No known charges,
Ricky Hall,10/6/16,Pending investigation/No Known Charges,No known charges,
Brandon Simmons,10/5/16,Justified by District Attorney,No known charges,
Lucas Felkel,10/5/16,Pending investigation/No Known Charges,No known charges,
Robert Solberg,10/5/16,Pending investigation/No Known Charges,No known charges,
Dean Allen Bruning,10/4/16,Pending investigation/No Known Charges,No known charges,
Isaias Salgado,10/4/16,Pending investigation/No Known Charges,No known charges,
Thomas Wayne Binkley,10/4/16,Pending investigation/No Known Charges,No known charges,
Zachary Sutton,10/4/16,Justified by Prosecutor,No known charges,
John H. Fetter III,10/3/16,Justified by outside agency,No known charges,
"Robert ""Bobby"" Dapkus",10/3/16,Pending investigation/No Known Charges,No known charges,
Daniel Enrique Perez,10/2/16,Pending investigation/No Known Charges,No known charges,
Donte Jones,10/2/16,Pending investigation/No Known Charges,No known charges,
Jose Cesar Viloria,10/2/16,Pending investigation/No Known Charges,No known charges,
Carnell Snell Jr,10/1/16,Other justified (Civilian board/Coroner/Medical examiner),No known charges,
Joshua Perry,10/1/16,Pending investigation/No Known Charges,No known charges,
Clayton Baker,9/30/16,Pending investigation/No Known Charges,No known charges,
Douglas Rainey,9/30/16,Pending investigation/No Known Charges,No known charges,
George Richards-Meyers,9/30/16,Pending investigation/No Known Charges,No known charges,
Jacquarius Robinson,9/30/16,Justified by internal review,No known charges,
Najier Salaam,9/30/16,Pending investigation/No Known Charges,No known charges,
Reginald Thomas Jr.,9/30/16,Pending investigation/No Known Charges,No known charges,
Richard Parent,9/30/16,Pending investigation/No Known Charges,No known charges,
Jeffrey Cave,9/29/16,Justified by District Attorney,No known charges,
Christopher Sowell,9/28/16,Pending investigation/No Known Charges,No known charges,
Johnathan Lozano-Murillo,9/28/16,Pending investigation/No Known Charges,No known charges,
Alfred Olango,9/27/16,Justified by District Attorney,No known charges,
John Ethan Carpentier,9/27/16,Pending investigation/No Known Charges,No known charges,
Anthony Bauer,9/26/16,Justified by Prosecutor,No known charges,
Jamie Lewis,9/26/16,Justified by County Attorney,No known charges,
Leeland White,9/26/16,Pending investigation/No Known Charges,No known charges,
Nathan DeSai,9/26/16,Pending investigation/No Known Charges,No known charges,
Cody Lafont,9/25/16,Justified by Attorney General,No known charges,
Christopher Contreras,9/23/16,Pending investigation/No Known Charges,No known charges,
Jesse Attaway,9/23/16,Pending investigation/No Known Charges,No known charges,
Oddis Colvin,9/23/16,Pending investigation/No Known Charges,No known charges,
Austin Baier,9/21/16,Pending investigation/No Known Charges,No known charges,
Charles Dove,9/20/16,Pending investigation/No Known Charges,No known charges,
Joshua Scott,9/20/16,Grand jury/No bill or Cleared,No known charges,
Keith Lamont Scott,9/20/16,Justified by District Attorney,No known charges,
Michael Goodale,9/20/16,Pending investigation/No Known Charges,No known charges,
Sandy Duke,9/20/16,Pending investigation/No Known Charges,No known charges,
Thomas Tucker Jr,9/20/16,Pending investigation/No Known Charges,No known charges,
Gary Don Lafon,9/19/16,Pending investigation/No Known Charges,No known charges,
Jeremy Swenson,9/19/16,Pending investigation/No Known Charges,No known charges,
Michelle Miller,9/19/16,Pending investigation/No Known Charges,No known charges,
Philip Hasan,9/18/16,Pending investigation/No Known Charges,No known charges,
Dahir Aidan,9/17/16,Justified by County Attorney,No known charges,
Nicholas Glenn,9/17/16,Pending investigation/No Known Charges,No known charges,
Robert Duh,9/17/16,Pending investigation/No Known Charges,No known charges,
Robert Young,9/17/16,Pending investigation/No Known Charges,No known charges,
Tawon Boyd,9/17/16,Ruled accidental,No known charges,
William Ryan,9/17/16,Pending investigation/No Known Charges,No known charges,
Jesse Beshaw,9/16/16,Pending investigation/No Known Charges,No known charges,
Lucas Anderson,9/16/16,Pending investigation/No Known Charges,No known charges,
Terence Crutcher,9/16/16,"Charged witth 1st degree manslaughter, Acquitted","Charged, Acquitted",
Thomas Mone III,9/16/16,Pending investigation/No Known Charges,No known charges,
Joseph Schlosser,9/15/16,Pending investigation/No Known Charges,No known charges,
Morgan Crocker,9/15/16,Justified by District Attorney,No known charges,
Robert Carrillo,9/15/16,Pending investigation/No Known Charges,No known charges,
Tyre King,9/14/16,Pending investigation/No Known Charges,No known charges,
Christian Vargas,9/12/16,Pending investigation/No Known Charges,No known charges,
Eugene Craig,9/12/16,Justified by District Attorney,No known charges,
Markell Lamarr Bivins,9/12/16,Justified by Attorney General,No known charges,
Terrence Sterling,9/11/16,Unjustified by internal review,No known charges,
Adrian Joseph Shaffer,9/10/16,Pending investigation/No Known Charges,No known charges,
Dennis Claude Stanley,9/10/16,Pending investigation/No Known Charges,No known charges,
Gregory Frazier,9/9/16,Pending investigation/No Known Charges,No known charges,
Ricardo Tenorio,9/9/16,Pending investigation/No Known Charges,No known charges,
Travis Ell,9/9/16,Pending investigation/No Known Charges,No known charges,
Francis Perry,9/8/16,Justified by State Attorney,No known charges,
Juan Manuel Barajas Torres aka Jose Torres,9/8/16,Pending investigation/No Known Charges,No known charges,
Donald Degraw,9/7/16,Pending investigation/No Known Charges,No known charges,
Jessie Joynt,9/7/16,Pending investigation/No Known Charges,No known charges,
Robert Lee Brown,9/7/16,Pending investigation/No Known Charges,No known charges,
Sadiq Bishara-Abaker Idris,9/7/16,Justified by Prosecutor,No known charges,
Bernard Cottrell,9/6/16,Pending investigation/No Known Charges,No known charges,
David L. Anderson,9/6/16,Pending investigation/No Known Charges,No known charges,
Dylan Papa,9/6/16,Pending investigation/No Known Charges,No known charges,
Larry Grant Whitehead,9/6/16,Pending investigation/No Known Charges,No known charges,
Steven Del Rio,9/6/16,Pending investigation/No Known Charges,No known charges,
Cesar Garcia,9/5/16,Justified by District Attorney,No known charges,
